Session: untitled,,,,,,,,,,,
Training Data: sensor_data_log_clean    Observations: 153,,,,,,,,,,,
"Predictors: 3    Predictor Names: Turbidity_NTU_, Methane_ADC_, Voltage_V_",,,,,,,,,,,
Response Name: SludgeConcentration,,,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,,
Test Data: sensor_data_log_clean    Observations: 17,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Favorite,Model Number,Model Type,Status,RMSE (Validation),RMSE (Test),MSE (Validation),MSE (Test),RSquared (Validation),RSquared (Test),MAE (Validation),MAE (Test)
0,2.22,Neural Network,Tested,3.38319242677375,4.40965337655121,11.4459909965793,19.4450429013295,0.981491246356274,0.974777300724936,2.03886313168904,2.99522075278489
0,2.18,Gaussian Process Regression,Tested,3.25086898560526,4.58288430802884,10.5681491615702,21.002828580777,0.982910761561834,0.972756654129962,2.12528042595918,2.85810933837836
0,2.12,SVM,Tested,3.49329667903683,4.63750612323887,12.2031216877697,21.506463043078,0.980266927252447,0.972103376034787,2.80822075173615,3.1429653333834
0,2.26,Neural Network,Tested,4.51755663109311,4.71183786316647,20.4083179151333,22.2014160487691,0.966998704726666,0.971201933401731,2.15516714389024,2.72380207776302
0,2.10,SVM,Tested,3.61182362371456,4.76116030881233,13.0452698888226,22.6686474862099,0.978905130481031,0.970595874670042,2.7353614407722,3.22931503011986
0,2.2,Linear Regression,Tested,3.73484666327137,4.77157125040853,13.9490795981493,22.7678921977252,0.977443623892765,0.970467141628624,3.04573347805457,3.39619035449534
0,2.4,Stepwise Linear Regression,Tested,3.73336158086349,4.8006716886454,13.9379886934676,23.0464486621615,0.977461558453652,0.970105818387053,3.04168688477527,3.42115618130699
0,2.19,Gaussian Process Regression,Tested,3.18030206363988,4.81420480477793,10.1143212159921,23.1765679023469,0.983644624592466,0.969937037146417,1.96393413125914,2.56779273244174
0,2.20,Gaussian Process Regression,Tested,3.33599989565072,4.8508983739688,11.1288953037816,23.5312150345732,0.982004006331469,0.969477014609553,1.77859621348201,2.2485287824429
0,2.21,Gaussian Process Regression,Tested,3.24763460447369,4.85956974847903,10.547130524175,23.6154181403326,0.982944749774964,0.969367792448132,1.93613281769977,2.52970271187298
0,2.9,SVM,Tested,3.57778127449404,4.88667023364245,12.8005188481202,23.8795459723672,0.979300905448683,0.969025184981983,2.85473326547683,3.6846585394407
0,2.16,Ensemble,Tested,3.84979508279488,4.90886956981657,14.8209221795116,24.0970004534711,0.976033809787602,0.968743118801377,2.63010557815196,3.08470845107205
0,2.17,Ensemble,Tested,3.25733895105273,5.20386539998775,10.6102570420453,27.0802151011897,0.982842670962566,0.964873509137146,1.69532584336506,2.10404203639498
0,2.6,Tree,Tested,3.99641388181782,5.22281579091453,15.9713239147861,27.2778047858261,0.974173551264258,0.964617210129696,1.87223674308074,1.92156862745099
0,2.11,SVM,Tested,4.71477735898382,5.39125212647732,22.2291255447864,29.0655994912463,0.964054365537518,0.962298212509111,3.28780317303274,4.14389057904526
0,2.25,Neural Network,Tested,3.78309822360348,5.46272379976509,14.3118321694318,29.8413513125199,0.976857034406761,0.961291963512934,1.94802992292783,2.55659033226711
0,2.5,Tree,Tested,4.06765286146717,5.55718930226211,16.545799801402,30.8823529411764,0.973244594334027,0.959941651705566,1.56971677559913,2.05882352941177
0,2.24,Neural Network,Tested,4.40479661701489,5.96051625210794,19.4022332372659,35.5277539916428,0.968625595177038,0.953915974400427,2.34147022326292,2.59669968517503
0,2.23,Neural Network,Tested,3.51307888390739,6.33946823034236,12.341723244556,40.18885744352,0.980042801436695,0.947869929079097,1.88853158458443,2.81913897583807
0,2.1,Linear Regression,Tested,6.01143782413257,6.44891878764533,36.1373847134118,41.5885535296449,0.941563998155427,0.946054344838118,4.83631268935002,5.30027110527633
0,2.28,Kernel,Tested,7.51514485769747,7.76309016510024,56.4774022321768,60.265568911476,0.908673148121001,0.921827875155222,5.319910630538,5.08875043005714
0,2.13,SVM,Tested,6.62236133975454,8.22430704240099,43.8556697142756,67.6392263276865,0.929083136019877,0.912263301576744,4.57713684629144,5.9370662095901
0,2.8,SVM,Tested,6.74824756492178,8.58379183959357,45.5388451974727,73.6814823454732,0.926361355060329,0.90442572532387,4.732335748168,6.09045997412852
0,2.7,Tree,Tested,11.4155102662034,10.9058508580304,130.313874637795,118.937582937602,0.789275790733095,0.845722794124923,9.29270041773294,9.14738267679444
0,2.3,Linear Regression,Tested,8.18380463067354,11.0596007991549,66.9746582330337,122.314769836667,0.891698547554475,0.841342152231612,5.15704387394401,7.02322749754153
0,2.27,Kernel,Tested,20.4368573453709,22.9895593548915,417.665138155042,528.519839332079,0.324614081035484,0.31444239871198,16.5006977866476,18.5978245271235
0,2.15,Efficient Linear,Tested,24.120044853259,27.811226578103,581.776563723228,773.46432377858,0.0592375009848857,-0.00328182034115709,20.4520971506594,23.5193330273465
0,2.14,Efficient Linear,Tested,24.5741862853112,28.2615853555727,603.890631585179,798.717206810323,0.0234779206881852,-0.0360380285825106,20.9250048913056,24.4455966620729
